symbol,date,low,close,open,volume,high
BTC-EUR,2021-01-31 16:00:00,27057.609375,27169.009765625,27107.90625,0,27192.529296875
BTC-EUR,2021-01-31 17:00:00,26656.9921875,26656.9921875,27169.455078125,0,27169.455078125
BTC-EUR,2021-01-31 18:00:00,26587.171875,26892.095703125,26625.587890625,680427520,26970.201171875
BTC-EUR,2021-01-31 19:00:00,26778.818359375,27050.583984375,26884.4296875,290512896,27096.70703125
BTC-EUR,2021-01-31 20:00:00,26863.212890625,27099.97265625,27050.091796875,271679488,27142.451171875
BTC-EUR,2021-01-31 21:00:00,26907.48828125,26968.98046875,27103.353515625,50982912,27111.37890625
BTC-EUR,2021-01-31 22:00:00,26888.884765625,27171.388671875,26944.009765625,209137664,27257.744140625
BTC-EUR,2021-01-31 23:00:00,27164.1171875,27333.216796875,27167.875,38072320,27351.880859375
BTC-EUR,2021-02-01 00:00:00,26702.416015625,26837.80078125,27316.099609375,254742528,27316.099609375
BTC-EUR,2021-02-01 01:00:00,26835.97265625,27589.537109375,26836.2265625,1421127680,27597.361328125
BTC-EUR,2021-02-01 02:00:00,27484.59765625,27748.70703125,27581.23828125,381800448,27841.02734375
BTC-EUR,2021-02-01 03:00:00,27645.416015625,27669.833984375,27751.490234375,654446592,27790.181640625
BTC-EUR,2021-02-01 04:00:00,27602.451171875,27674.54296875,27670.28515625,902086656,27873.052734375
BTC-EUR,2021-02-01 05:00:00,27618.779296875,27838.373046875,27675.224609375,507502592,27844.17578125
BTC-EUR,2021-02-01 06:00:00,27528.873046875,27579.466796875,27837.01953125,1068507136,28185.70703125
BTC-EUR,2021-02-01 07:00:00,27583.146484375,27826.77734375,27583.146484375,942018560,27873.380859375
BTC-EUR,2021-02-01 08:00:00,27787.03125,28324.453125,27826.78515625,1533030400,28324.453125
BTC-EUR,2021-02-01 09:00:00,28331.888671875,28392.12109375,28331.888671875,1723994112,28652.73046875
BTC-EUR,2021-02-01 10:00:00,28235.35546875,28250.947265625,28394.81640625,0,28479.486328125
BTC-EUR,2021-02-01 11:00:00,28149.578125,28421.046875,28252.083984375,1261342720,28421.046875
BTC-EUR,2021-02-01 12:00:00,27926.298828125,27969.453125,28399.640625,546664448,28399.640625
BTC-EUR,2021-02-01 13:00:00,27890.7890625,27890.7890625,27963.11328125,860557312,28053.9921875
BTC-EUR,2021-02-01 14:00:00,27652.544921875,27745.671875,27899.404296875,806727680,27964.71875
BTC-EUR,2021-02-01 15:00:00,27525.720703125,27525.720703125,27744.76171875,0,27767.859375
